id,label,confidence,used_vote,valid,reason,checks,vote_dist,roi_meta
TEST_000,1,0.312,True,True,Package intact (vote 10/10 on FULL). hole1=not_connected(c1/n9/u0) / hole2=connected(c7/n3/u0) / hole3=not_connected(c1/n9/u0). | (debug samples: Package: no damage (based on FULL). hole1: not_connected due to no 12 o'clock contact and a gap between lead and hole; hole2: not_connected due to no 12 o'clock contact and a gap between lead and hole; hole3: not_connected due to no 12 o'clock contact and a gap between lead and hole. || Package: no damage (based on FULL). hole1: 12 o'clock contact observed with no gap; hole2: 12 o'clock contact observed with no gap; hole3: 12 o'clock contact not observed and a gap between lead and hole is present || Package: no damage (based on FULL). hole1: no 12 o'clock contact + gap present = not_connected / hole2: 12 o'clock contact + no gap = connected / hole3: 12 o'clock contact + no gap = connected),"{""package_intact"": true, ""hole1_status"": ""not_connected"", ""hole2_status"": ""connected"", ""hole3_status"": ""not_connected"", ""rule"": ""abnormal if package damaged OR any hole not_connected"", ""conf_thresh"": 0.95, ""n_votes"": 10, ""use_enhance"": false, ""cove_used"": false, ""cove_trigger"": """"}","{""total_runs"": 10, ""pkg_true"": 10, ""pkg_false"": 0, ""h1"": {""connected"": 1, ""not_connected"": 9, ""uncertain"": 0}, ""h2"": {""connected"": 7, ""not_connected"": 3, ""uncertain"": 0}, ""h3"": {""connected"": 1, ""not_connected"": 9, ""uncertain"": 0}, ""conf_avg"": 0.31199999999999994, ""first_conf"": 0.62}","{""orig_W"": 224, ""orig_H"": 224, ""roi_box"": {""x1"": 40, ""y1"": 100, ""x2"": 183, ""y2"": 219}, ""sub_boxes_in_roi"": [{""x1"": 4, ""y1"": 66, ""x2"": 47, ""y2"": 119}, {""x1"": 50, ""y1"": 66, ""x2"": 92, ""y2"": 119}, {""x1"": 95, ""y1"": 66, ""x2"": 138, ""y2"": 119}], ""sub_params"": {""HOLE_CENTERS"": [0.18, 0.5, 0.82], ""HOLE_Y_CENTER"": 0.78, ""HOLE_BOX_W"": 0.3, ""HOLE_BOX_H"": 0.45}, ""preproc"": {""resize"": [224, 224], ""use_enhance"": false, ""clahe_clip_limit"": null, ""clahe_tile_grid"": null, ""sharpen_factor"": null}}"
TEST_001,1,0.548,True,True,Package intact (vote 10/10 on FULL). hole1=not_connected(c4/n5/u1) / hole2=connected(c9/n1/u0) / hole3=not_connected(c2/n8/u0). | (debug samples: Package: no damage (based on FULL). hole1: not_connected – 12 o'clock contact absent and a gap between lead and hole is visible. hole2: connected – 12 o'clock contact with no gap. hole3: not_connected – no 12 o'clock contact and a gap is present. || Package: no damage (based on FULL). hole1: 12 o'clock contact = absent + gap = present -> not_connected. hole2: 12 o'clock contact = present + gap = absent -> connected. hole3: 12 o'clock contact = absent + gap = present -> not_connected. || Package: no damage (based on FULL). hole1: 12 o'clock contact + no gap = connected; hole2: 12 o'clock contact + no gap = connected; hole3: 12 o'clock contact + no gap = connected),"{""package_intact"": true, ""hole1_status"": ""not_connected"", ""hole2_status"": ""connected"", ""hole3_status"": ""not_connected"", ""rule"": ""abnormal if package damaged OR any hole not_connected"", ""conf_thresh"": 0.95, ""n_votes"": 10, ""use_enhance"": false, ""cove_used"": false, ""cove_trigger"": """"}","{""total_runs"": 10, ""pkg_true"": 10, ""pkg_false"": 0, ""h1"": {""connected"": 4, ""not_connected"": 5, ""uncertain"": 1}, ""h2"": {""connected"": 9, ""not_connected"": 1, ""uncertain"": 0}, ""h3"": {""connected"": 2, ""not_connected"": 8, ""uncertain"": 0}, ""conf_avg"": 0.5479999999999999, ""first_conf"": 0.62}","{""orig_W"": 224, ""orig_H"": 224, ""roi_box"": {""x1"": 40, ""y1"": 100, ""x2"": 183, ""y2"": 219}, ""sub_boxes_in_roi"": [{""x1"": 4, ""y1"": 66, ""x2"": 47, ""y2"": 119}, {""x1"": 50, ""y1"": 66, ""x2"": 92, ""y2"": 119}, {""x1"": 95, ""y1"": 66, ""x2"": 138, ""y2"": 119}], ""sub_params"": {""HOLE_CENTERS"": [0.18, 0.5, 0.82], ""HOLE_Y_CENTER"": 0.78, ""HOLE_BOX_W"": 0.3, ""HOLE_BOX_H"": 0.45}, ""preproc"": {""resize"": [224, 224], ""use_enhance"": false, ""clahe_clip_limit"": null, ""clahe_tile_grid"": null, ""sharpen_factor"": null}}"
TEST_002,0,0.321,True,True,Package intact (vote 10/10 on FULL). hole1=connected(c7/n2/u1) / hole2=connected(c8/n1/u1) / hole3=connected(c7/n2/u1). | (debug samples: Package: no damage (based on FULL image; top edges and corners appear intact). hole1: 12 o'clock contact + no gap = connected; hole2: 12 o'clock contact + no gap = connected; hole3: 12 o'clock contact + no gap = connected || Package: no damage (based on FULL). hole1: 12 o'clock contact + no gap = connected / hole2: 12 o'clock contact + no gap = connected / hole3: 12 o'clock contact + no gap = connected || Package: no damage (based on FULL). hole1: 12 o'clock contact + no gap = connected; hole2: 12 o'clock contact + no gap = connected; hole3: 12 o'clock contact + no gap = connected),"{""package_intact"": true, ""hole1_status"": ""connected"", ""hole2_status"": ""connected"", ""hole3_status"": ""connected"", ""rule"": ""abnormal if package damaged OR any hole not_connected"", ""conf_thresh"": 0.95, ""n_votes"": 10, ""use_enhance"": false, ""cove_used"": false, ""cove_trigger"": """"}","{""total_runs"": 10, ""pkg_true"": 10, ""pkg_false"": 0, ""h1"": {""connected"": 7, ""not_connected"": 2, ""uncertain"": 1}, ""h2"": {""connected"": 8, ""not_connected"": 1, ""uncertain"": 1}, ""h3"": {""connected"": 7, ""not_connected"": 2, ""uncertain"": 1}, ""conf_avg"": 0.321, ""first_conf"": 0.66}","{""orig_W"": 224, ""orig_H"": 224, ""roi_box"": {""x1"": 40, ""y1"": 100, ""x2"": 183, ""y2"": 219}, ""sub_boxes_in_roi"": [{""x1"": 4, ""y1"": 66, ""x2"": 47, ""y2"": 119}, {""x1"": 50, ""y1"": 66, ""x2"": 92, ""y2"": 119}, {""x1"": 95, ""y1"": 66, ""x2"": 138, ""y2"": 119}], ""sub_params"": {""HOLE_CENTERS"": [0.18, 0.5, 0.82], ""HOLE_Y_CENTER"": 0.78, ""HOLE_BOX_W"": 0.3, ""HOLE_BOX_H"": 0.45}, ""preproc"": {""resize"": [224, 224], ""use_enhance"": false, ""clahe_clip_limit"": null, ""clahe_tile_grid"": null, ""sharpen_factor"": null}}"
TEST_003,1,0.377,True,True,Package intact (vote 10/10 on FULL). hole1=not_connected(c4/n5/u1) / hole2=connected(c8/n1/u1) / hole3=not_connected(c2/n7/u1). | (debug samples: Package: no damage (based on FULL). hole1: 12 o'clock contact absent and gap between lead and hole = not_connected. hole2: 12 o'clock contact present and no gap = connected. hole3: 12 o'clock contact absent and gap between lead and hole = not_connected. || Package: no damage (based on FULL). hole1: 12 o'clock contact + no gap = connected. hole2: 12 o'clock contact + no gap = connected. hole3: lead not at 12 o'clock and gap present between lead and hole = not_connected. || Package: no damage (based on FULL). hole1: not_connected — no 12 o'clock contact and a gap between lead and hole; hole2: connected — 12 o'clock contact with lead entering the hole and no gap; hole3: not_connected — no 12 o'clock contact and a gap present.),"{""package_intact"": true, ""hole1_status"": ""not_connected"", ""hole2_status"": ""connected"", ""hole3_status"": ""not_connected"", ""rule"": ""abnormal if package damaged OR any hole not_connected"", ""conf_thresh"": 0.95, ""n_votes"": 10, ""use_enhance"": false, ""cove_used"": false, ""cove_trigger"": """"}","{""total_runs"": 10, ""pkg_true"": 10, ""pkg_false"": 0, ""h1"": {""connected"": 4, ""not_connected"": 5, ""uncertain"": 1}, ""h2"": {""connected"": 8, ""not_connected"": 1, ""uncertain"": 1}, ""h3"": {""connected"": 2, ""not_connected"": 7, ""uncertain"": 1}, ""conf_avg"": 0.377, ""first_conf"": 0.62}","{""orig_W"": 224, ""orig_H"": 224, ""roi_box"": {""x1"": 40, ""y1"": 100, ""x2"": 183, ""y2"": 219}, ""sub_boxes_in_roi"": [{""x1"": 4, ""y1"": 66, ""x2"": 47, ""y2"": 119}, {""x1"": 50, ""y1"": 66, ""x2"": 92, ""y2"": 119}, {""x1"": 95, ""y1"": 66, ""x2"": 138, ""y2"": 119}], ""sub_params"": {""HOLE_CENTERS"": [0.18, 0.5, 0.82], ""HOLE_Y_CENTER"": 0.78, ""HOLE_BOX_W"": 0.3, ""HOLE_BOX_H"": 0.45}, ""preproc"": {""resize"": [224, 224], ""use_enhance"": false, ""clahe_clip_limit"": null, ""clahe_tile_grid"": null, ""sharpen_factor"": null}}"
TEST_004,1,0.583,True,True,Package intact (vote 10/10 on FULL). hole1=connected(c7/n2/u1) / hole2=connected(c8/n1/u1) / hole3=not_connected(c4/n5/u1). | (debug samples: Package: no damage observed on the black body in FULL (edges and corners intact). hole1: 12 o'clock contact + no gap = connected; hole2: 12 o'clock contact + no gap = connected; hole3: 12 o'clock contact + no gap = connected || Package: no damage (based on FULL). hole1: 12 o'clock contact + no gap = connected / hole2: 12 o'clock contact + no gap = connected / hole3: 12 o'clock contact + no gap = connected || Package: no damage (based on FULL). hole1: 12 o'clock contact + no gap = connected; hole2: 12 o'clock contact + no gap = connected; hole3: no 12 o'clock contact + gap present = not_connected),"{""package_intact"": true, ""hole1_status"": ""connected"", ""hole2_status"": ""connected"", ""hole3_status"": ""not_connected"", ""rule"": ""abnormal if package damaged OR any hole not_connected"", ""conf_thresh"": 0.95, ""n_votes"": 10, ""use_enhance"": false, ""cove_used"": false, ""cove_trigger"": """"}","{""total_runs"": 10, ""pkg_true"": 10, ""pkg_false"": 0, ""h1"": {""connected"": 7, ""not_connected"": 2, ""uncertain"": 1}, ""h2"": {""connected"": 8, ""not_connected"": 1, ""uncertain"": 1}, ""h3"": {""connected"": 4, ""not_connected"": 5, ""uncertain"": 1}, ""conf_avg"": 0.583, ""first_conf"": 0.8}","{""orig_W"": 224, ""orig_H"": 224, ""roi_box"": {""x1"": 40, ""y1"": 100, ""x2"": 183, ""y2"": 219}, ""sub_boxes_in_roi"": [{""x1"": 4, ""y1"": 66, ""x2"": 47, ""y2"": 119}, {""x1"": 50, ""y1"": 66, ""x2"": 92, ""y2"": 119}, {""x1"": 95, ""y1"": 66, ""x2"": 138, ""y2"": 119}], ""sub_params"": {""HOLE_CENTERS"": [0.18, 0.5, 0.82], ""HOLE_Y_CENTER"": 0.78, ""HOLE_BOX_W"": 0.3, ""HOLE_BOX_H"": 0.45}, ""preproc"": {""resize"": [224, 224], ""use_enhance"": false, ""clahe_clip_limit"": null, ""clahe_tile_grid"": null, ""sharpen_factor"": null}}"
TEST_005,1,0.582,True,True,Package intact (vote 10/10 on FULL). hole1=not_connected(c3/n6/u1) / hole2=connected(c5/n4/u1) / hole3=not_connected(c3/n6/u1). | (debug samples: Package: no damage (based on FULL). hole1: not_connected – no 12 o'clock contact visible; gap present between lead and hole. hole2: not_connected – no 12 o'clock contact visible; gap present between lead and hole. hole3: not_connected – no 12 o'clock contact visible; gap present between lead and hole. || Package: no damage (based on FULL). hole1: not_connected due to no 12 o'clock contact + gap between lead and hole; hole2: not_connected due to no 12 o'clock contact + gap between lead and hole; hole3: not_connected due to no 12 o'clock contact + gap between lead and hole || Package: no damage (based on FULL). hole1: no 12 o'clock contact; gap present = not_connected. hole2: no 12 o'clock contact; gap present = not_connected. hole3: no 12 o'clock contact; gap present = not_connected.),"{""package_intact"": true, ""hole1_status"": ""not_connected"", ""hole2_status"": ""connected"", ""hole3_status"": ""not_connected"", ""rule"": ""abnormal if package damaged OR any hole not_connected"", ""conf_thresh"": 0.95, ""n_votes"": 10, ""use_enhance"": false, ""cove_used"": false, ""cove_trigger"": """"}","{""total_runs"": 10, ""pkg_true"": 10, ""pkg_false"": 0, ""h1"": {""connected"": 3, ""not_connected"": 6, ""uncertain"": 1}, ""h2"": {""connected"": 5, ""not_connected"": 4, ""uncertain"": 1}, ""h3"": {""connected"": 3, ""not_connected"": 6, ""uncertain"": 1}, ""conf_avg"": 0.5820000000000001, ""first_conf"": 0.65}","{""orig_W"": 224, ""orig_H"": 224, ""roi_box"": {""x1"": 40, ""y1"": 100, ""x2"": 183, ""y2"": 219}, ""sub_boxes_in_roi"": [{""x1"": 4, ""y1"": 66, ""x2"": 47, ""y2"": 119}, {""x1"": 50, ""y1"": 66, ""x2"": 92, ""y2"": 119}, {""x1"": 95, ""y1"": 66, ""x2"": 138, ""y2"": 119}], ""sub_params"": {""HOLE_CENTERS"": [0.18, 0.5, 0.82], ""HOLE_Y_CENTER"": 0.78, ""HOLE_BOX_W"": 0.3, ""HOLE_BOX_H"": 0.45}, ""preproc"": {""resize"": [224, 224], ""use_enhance"": false, ""clahe_clip_limit"": null, ""clahe_tile_grid"": null, ""sharpen_factor"": null}}"
TEST_006,1,0.487,True,True,Package intact (vote 10/10 on FULL). hole1=not_connected(c3/n6/u1) / hole2=connected(c8/n1/u1) / hole3=not_connected(c1/n8/u1). | (debug samples: Package: no damage (based on FULL). hole1: 12 o'clock contact + no gap = connected; hole2: 12 o'clock contact + no gap = connected; hole3: no 12 o'clock contact or presence of a gap = not_connected || Package: no damage (based on FULL). hole1: no 12 o'clock contact + gap present = not_connected. hole2: 12 o'clock contact + no gap = connected. hole3: no 12 o'clock contact + gap present = not_connected. || Package: no damage (based on FULL). hole1: no 12 o'clock contact + gap present = not_connected; hole2: 12 o'clock contact + no gap = connected; hole3: no 12 o'clock contact + gap present = not_connected),"{""package_intact"": true, ""hole1_status"": ""not_connected"", ""hole2_status"": ""connected"", ""hole3_status"": ""not_connected"", ""rule"": ""abnormal if package damaged OR any hole not_connected"", ""conf_thresh"": 0.95, ""n_votes"": 10, ""use_enhance"": false, ""cove_used"": false, ""cove_trigger"": """"}","{""total_runs"": 10, ""pkg_true"": 10, ""pkg_false"": 0, ""h1"": {""connected"": 3, ""not_connected"": 6, ""uncertain"": 1}, ""h2"": {""connected"": 8, ""not_connected"": 1, ""uncertain"": 1}, ""h3"": {""connected"": 1, ""not_connected"": 8, ""uncertain"": 1}, ""conf_avg"": 0.487, ""first_conf"": 0.0}","{""orig_W"": 224, ""orig_H"": 224, ""roi_box"": {""x1"": 40, ""y1"": 100, ""x2"": 183, ""y2"": 219}, ""sub_boxes_in_roi"": [{""x1"": 4, ""y1"": 66, ""x2"": 47, ""y2"": 119}, {""x1"": 50, ""y1"": 66, ""x2"": 92, ""y2"": 119}, {""x1"": 95, ""y1"": 66, ""x2"": 138, ""y2"": 119}], ""sub_params"": {""HOLE_CENTERS"": [0.18, 0.5, 0.82], ""HOLE_Y_CENTER"": 0.78, ""HOLE_BOX_W"": 0.3, ""HOLE_BOX_H"": 0.45}, ""preproc"": {""resize"": [224, 224], ""use_enhance"": false, ""clahe_clip_limit"": null, ""clahe_tile_grid"": null, ""sharpen_factor"": null}}"
TEST_007,1,0.559,True,True,Package intact (vote 10/10 on FULL). hole1=not_connected(c4/n5/u1) / hole2=connected(c9/n0/u1) / hole3=connected(c5/n4/u1). | (debug samples: Package: no damage (based on FULL). hole1: 12 o'clock contact + no gap = connected; hole2: 12 o'clock contact + no gap = connected; hole3: 12 o'clock contact + no gap = connected. || Package: no damage (based on FULL). hole1: 12 o'clock contact + no gap = connected; hole2: 12 o'clock contact + no gap = connected; hole3: 12 o'clock contact + no gap = connected || Package: no damage (based on FULL). hole1: no 12 o'clock contact + gap present = not_connected / hole2: 12 o'clock contact + no gap = connected / hole3: no 12 o'clock contact + gap present = not_connected),"{""package_intact"": true, ""hole1_status"": ""not_connected"", ""hole2_status"": ""connected"", ""hole3_status"": ""connected"", ""rule"": ""abnormal if package damaged OR any hole not_connected"", ""conf_thresh"": 0.95, ""n_votes"": 10, ""use_enhance"": false, ""cove_used"": false, ""cove_trigger"": """"}","{""total_runs"": 10, ""pkg_true"": 10, ""pkg_false"": 0, ""h1"": {""connected"": 4, ""not_connected"": 5, ""uncertain"": 1}, ""h2"": {""connected"": 9, ""not_connected"": 0, ""uncertain"": 1}, ""h3"": {""connected"": 5, ""not_connected"": 4, ""uncertain"": 1}, ""conf_avg"": 0.5589999999999999, ""first_conf"": 0.75}","{""orig_W"": 224, ""orig_H"": 224, ""roi_box"": {""x1"": 40, ""y1"": 100, ""x2"": 183, ""y2"": 219}, ""sub_boxes_in_roi"": [{""x1"": 4, ""y1"": 66, ""x2"": 47, ""y2"": 119}, {""x1"": 50, ""y1"": 66, ""x2"": 92, ""y2"": 119}, {""x1"": 95, ""y1"": 66, ""x2"": 138, ""y2"": 119}], ""sub_params"": {""HOLE_CENTERS"": [0.18, 0.5, 0.82], ""HOLE_Y_CENTER"": 0.78, ""HOLE_BOX_W"": 0.3, ""HOLE_BOX_H"": 0.45}, ""preproc"": {""resize"": [224, 224], ""use_enhance"": false, ""clahe_clip_limit"": null, ""clahe_tile_grid"": null, ""sharpen_factor"": null}}"
TEST_008,1,0.445,True,True,"Package intact (vote 10/10 on FULL). hole1=not_connected(c0/n7/u3) / hole2=not_connected(c0/n7/u3) / hole3=not_connected(c0/n7/u3). | (debug samples: Package: no damage (based on FULL). hole1: no 12 o'clock contact; gap between lead and hole (no lead visible at top) => not_connected. hole2: no 12 o'clock contact; gap between lead and hole (no lead visible at top) => not_connected. hole3: no 12 o'clock contact; gap between lead and hole (no lead visible at top) => not_connected. || Package: no damage detected on FULL (edges/corners intact). hole1: cannot determine 12 o'clock contact or gap due to limited resolution/noise in Sub-ROI #1; hole2: cannot determine 12 o'clock contact or gap due to limited resolution/noise in Sub-ROI #2; hole3: cannot determine 12 o'clock contact or gap due to limited resolution/noise in Sub-ROI #3. || Package: no damage observed on FULL (edges intact, no chipping). hole1: not_connected due to absence of 12 o'clock contact and visible gap between lead and hole; hole2: not_connected due to absence of 12 o'clock contact and visible gap between lead and hole; hole3: not_connected due to absence of 12 o'clock contact and visible gap between lead and hole.)","{""package_intact"": true, ""hole1_status"": ""not_connected"", ""hole2_status"": ""not_connected"", ""hole3_status"": ""not_connected"", ""rule"": ""abnormal if package damaged OR any hole not_connected"", ""conf_thresh"": 0.95, ""n_votes"": 10, ""use_enhance"": false, ""cove_used"": false, ""cove_trigger"": """"}","{""total_runs"": 10, ""pkg_true"": 10, ""pkg_false"": 0, ""h1"": {""connected"": 0, ""not_connected"": 7, ""uncertain"": 3}, ""h2"": {""connected"": 0, ""not_connected"": 7, ""uncertain"": 3}, ""h3"": {""connected"": 0, ""not_connected"": 7, ""uncertain"": 3}, ""conf_avg"": 0.445, ""first_conf"": 0.55}","{""orig_W"": 224, ""orig_H"": 224, ""roi_box"": {""x1"": 40, ""y1"": 100, ""x2"": 183, ""y2"": 219}, ""sub_boxes_in_roi"": [{""x1"": 4, ""y1"": 66, ""x2"": 47, ""y2"": 119}, {""x1"": 50, ""y1"": 66, ""x2"": 92, ""y2"": 119}, {""x1"": 95, ""y1"": 66, ""x2"": 138, ""y2"": 119}], ""sub_params"": {""HOLE_CENTERS"": [0.18, 0.5, 0.82], ""HOLE_Y_CENTER"": 0.78, ""HOLE_BOX_W"": 0.3, ""HOLE_BOX_H"": 0.45}, ""preproc"": {""resize"": [224, 224], ""use_enhance"": false, ""clahe_clip_limit"": null, ""clahe_tile_grid"": null, ""sharpen_factor"": null}}"
TEST_009,1,0.574,True,True,Package intact (vote 10/10 on FULL). hole1=not_connected(c2/n8/u0) / hole2=connected(c10/n0/u0) / hole3=not_connected(c0/n10/u0). | (debug samples: Package: no damage (based on FULL). hole1: no 12 o'clock contact observed; gap present between lead and hole due to absent lead at top — not_connected. hole2: 12 o'clock contact observed with lead entering the hole from the top and no gap — connected. hole3: lead not at 12 o'clock (side/top-right) and a gap exists between lead and hole — not_connected. || Package: no damage (based on FULL). hole1: not_connected (lead not at 12 o'clock and a gap is present). hole2: connected (12 o'clock contact + no gap). hole3: not_connected (lead not at 12 o'clock and gap present). || Package: no damage (based on FULL). hole1: 12 o'clock contact absent with a gap (not connected). hole2: 12 o'clock contact present and no gap (connected). hole3: 12 o'clock contact absent with a gap (not connected).),"{""package_intact"": true, ""hole1_status"": ""not_connected"", ""hole2_status"": ""connected"", ""hole3_status"": ""not_connected"", ""rule"": ""abnormal if package damaged OR any hole not_connected"", ""conf_thresh"": 0.95, ""n_votes"": 10, ""use_enhance"": false, ""cove_used"": false, ""cove_trigger"": """"}","{""total_runs"": 10, ""pkg_true"": 10, ""pkg_false"": 0, ""h1"": {""connected"": 2, ""not_connected"": 8, ""uncertain"": 0}, ""h2"": {""connected"": 10, ""not_connected"": 0, ""uncertain"": 0}, ""h3"": {""connected"": 0, ""not_connected"": 10, ""uncertain"": 0}, ""conf_avg"": 0.5740000000000001, ""first_conf"": 0.45}","{""orig_W"": 224, ""orig_H"": 224, ""roi_box"": {""x1"": 40, ""y1"": 100, ""x2"": 183, ""y2"": 219}, ""sub_boxes_in_roi"": [{""x1"": 4, ""y1"": 66, ""x2"": 47, ""y2"": 119}, {""x1"": 50, ""y1"": 66, ""x2"": 92, ""y2"": 119}, {""x1"": 95, ""y1"": 66, ""x2"": 138, ""y2"": 119}], ""sub_params"": {""HOLE_CENTERS"": [0.18, 0.5, 0.82], ""HOLE_Y_CENTER"": 0.78, ""HOLE_BOX_W"": 0.3, ""HOLE_BOX_H"": 0.45}, ""preproc"": {""resize"": [224, 224], ""use_enhance"": false, ""clahe_clip_limit"": null, ""clahe_tile_grid"": null, ""sharpen_factor"": null}}"
